Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry
PRG,PRG,"PROG Holdings, Inc. Common Stock",NYSE, ,N,N,1867455938,Consumer Discretionary,Diversified Commercial Services
CTS,CTS,CTS Corporation Common Stock,NYSE, ,N,N,1863971803,Technology,Electrical Products
VERX,VERX,"Vertex, Inc. - Class A Common Stock",NASDAQ,G,N,N,1857658368,Technology,Computer Software: Prepackaged Software
LIND,LIND,Lindblad Expeditions Holdings Inc.  - Common Stock,NASDAQ,S,N,N,1851734020,Consumer Discretionary,Transportation Services
EPAC,EPAC,Enerpac Tool Group Corp. Common Stock,NYSE, ,N,N,1848338040,Technology,Industrial Machinery/Components
STGW,STGW,Stagwell Inc. - Class A Common Stock,NASDAQ,Q,N,N,1841631013,Consumer Discretionary,Advertising
CNXN,CNXN,"PC Connection, Inc. - Common Stock",NASDAQ,Q,N,N,1841249171,Consumer Discretionary,Catalog/Specialty Distribution
ULCC,ULCC,"Frontier Group Holdings, Inc. - Common Stock",NASDAQ,Q,N,N,1817633640,Consumer Discretionary,Air Freight/Delivery Services
MH,MH,"McGraw Hill, Inc. Common Stock",NYSE, ,N,N,1811385311,Consumer Discretionary,Publishing
AEVA,AEVA,"Aeva Technologies, Inc. - Common Stock",NASDAQ,Q,N,N,1810532379,Consumer Discretionary,Auto Parts:O.E.M.
NCNO,NCNO,"nCino, Inc. - Common Stock",NASDAQ,Q,N,N,1791190733,Technology,Computer Software: Prepackaged Software
TIC,TIC,"TIC Solutions, Inc. Common Stock",NYSE, ,N,N,1788234666,Consumer Discretionary,Business Services
WB,WB,Weibo Corporation - American Depositary Shares,NASDAQ,Q,N,N,1783582873,Technology,Computer Software: Programming Data Processing
OPRA,OPRA,Opera Limited - American Depositary Shares,NASDAQ,Q,N,N,1782330573,Technology,Computer Software: Prepackaged Software
XNET,XNET,Xunlei Limited - American Depositary Shares,NASDAQ,Q,N,N,1780714613,Technology,Computer Software: Prepackaged Software
EVCM,EVCM,EverCommerce Inc. - Common Stock,NASDAQ,Q,N,N,1780124052,Technology,Computer Software: Prepackaged Software
HLIT,HLIT,Harmonic Inc. - Common Stock,NASDAQ,Q,N,N,1771746800,Technology,Radio And Television Broadcasting And Communications Equipment
BVC,BVC,BitVentures Limited - Ordinary Share,NASDAQ,S,N,N,1764000000,,
BBAI,BBAI,"BigBear.ai, Inc. Common Stock",NYSE, ,N,N,1757744482,Technology,Computer Software: Prepackaged Software
