Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry,Asset Class,Strategy,Theme,Geography,Category Flags
ESILVER.NS,XNSE:ESILVER,EDELAMC-Esilver,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
EVIETF.NS,XNSE:EVIETF,ICICIPRAMC - EVIETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
EVINDIA.NS,XNSE:EVINDIA,MIRAEAMC - EVINDIA,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
FINIETF.NS,XNSE:FINIETF,ICICIPRAMC-ICICIFIN,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
FLEXIADD.NS,XNSE:FLEXIADD,DSPAMC - FLEXIADD,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
FMCGADD.NS,XNSE:FMCGADD,DSPAMC - FMCGADD,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
FMCGIETF.NS,XNSE:FMCGIETF,ICICIPRAMC-ICICIFMCG,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GILT10BETA.NS,XNSE:GILT10BETA,UTIAMC-GILT10BETA,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GILT5BETA.NS,XNSE:GILT5BETA,UTIAMC-GILT5BETA,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GILT5YBEES.NS,XNSE:GILT5YBEES,RELCAPAMC-NETFGILT5Y,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GOLD360.NS,XNSE:GOLD360,360ONEAMC - GOLD360,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GOLDADD.NS,XNSE:GOLDADD,DSPAMC - DSPGOLD,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GOLDBEES.NS,XNSE:GOLDBEES,NIPINDETFGOLDBEES,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GOLDBETA.NS,XNSE:GOLDBETA,UTIAMC -UTIGOLDBETA,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
GOLDBND.NS,XNSE:GOLDBND,BANDHANAMC - GOLDBND,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
