Profile,Sector,Exact_Score,Rows,D1_Positive,D1_Positive_Rate_Pct,D1_Mean_Return_Pct,D1_Median_Return_Pct,D5_Positive,D5_Positive_Rate_Pct,D5_Mean_Return_Pct,D5_Median_Return_Pct,D8_Positive,D8_Positive_Rate_Pct,D8_Mean_Return_Pct,D8_Median_Return_Pct
V3,ALL,25,62,32,51.61290322580645,0.23110133470008526,0.22666827176265336,36,58.064516129032256,1.3564501925568595,1.30921291127023,34,54.83870967741935,1.1970139560619228,0.6196261280250304
V3,ALL,30,66,42,63.63636363636363,0.6685086102218332,0.49207587046018464,40,60.60606060606061,0.9623549950577501,1.1407997742093334,34,51.515151515151516,0.540757394005154,0.2655197610123228
V3,ALL,35,24,14,58.333333333333336,0.4882119031648591,0.6545065561220809,17,70.83333333333333,2.169478119813889,1.1733645570622842,16,66.66666666666667,1.86604564135929,1.0489954218436015
V3,ALL,40,4,2,50.0,0.6116929782506553,0.06505455837633733,3,75.0,0.8280312077040469,1.088846810214139,4,100.0,3.175369985495652,2.605996434328084
V3,ALL,45,1,0,0.0,-0.7771796242433293,-0.7771796242433293,1,100.0,2.6009394719880508,2.6009394719880508,1,100.0,7.248577000710488,7.248577000710488
V3,Technology,-10,1,0,0.0,-3.378788226537832,-3.378788226537832,0,0.0,-16.834623384590543,-16.834623384590543,0,0.0,-9.425020907909209,-9.425020907909209
V3,Technology,0,2,1,50.0,0.7638593470306765,0.7638593470306765,1,50.0,-3.4994694657170258,-3.4994694657170258,1,50.0,-2.045188007805282,-2.045188007805282
V3,Technology,5,5,2,40.0,0.34467315061154524,-1.1403435536549766,2,40.0,0.7112097886427504,-1.1656272773554521,2,40.0,1.0544468084250052,-1.023798922396657
V3,Technology,10,21,12,57.142857142857146,1.3056323606159037,0.33846341646635025,13,61.904761904761905,1.198411599367916,1.3977211541099654,9,42.857142857142854,0.04645858310069893,-1.084595567175728
V3,Technology,15,12,5,41.666666666666664,-0.5428996121321333,-0.22039799420560113,5,41.666666666666664,-0.8284938256341966,-1.757167478412608,6,50.0,0.4554630141055143,0.45171959050960275
V3,Technology,20,27,20,74.07407407407408,0.9860019252899214,1.1235955056179803,16,59.25925925925926,2.5908219352063173,0.6514703514460596,15,55.55555555555556,3.589106024630615,2.6421075118215454
V3,Technology,25,29,22,75.86206896551724,1.1229775195462823,1.204957228597503,20,68.96551724137932,2.974447867583552,2.9830149507951598,16,55.172413793103445,2.354084577438073,1.3495444385581923
V3,Technology,30,32,21,65.625,0.9472315840072083,0.32018976048794334,19,59.375,0.939431758658376,1.1874025988520054,16,50.0,0.7753510315471387,-0.11968918012217888
V3,Technology,35,11,6,54.54545454545455,0.582156926325019,0.8062975948882167,7,63.63636363636363,0.8244338783733389,0.866234496546614,7,63.63636363636363,0.20669055675373935,0.8567378353139032
V3,Technology,40,1,1,100.0,2.8302825571283607,2.8302825571283607,1,100.0,0.9401256007440351,0.9401256007440351,1,100.0,1.5685294770954261,1.5685294770954261
V3,Technology,45,1,0,0.0,-0.7771796242433293,-0.7771796242433293,1,100.0,2.6009394719880508,2.6009394719880508,1,100.0,7.248577000710488,7.248577000710488
V3,Industrials,5,7,3,42.857142857142854,-0.7137424804712672,-1.0122691072570023,3,42.857142857142854,0.6454699969238816,-0.34559411839103493,3,42.857142857142854,0.12098062057168038,-0.653723583414656
V3,Industrials,10,14,6,42.857142857142854,-0.030642443850596557,-0.21699783905514414,9,64.28571428571429,0.2147244775790139,1.3966540840152586,9,64.28571428571429,1.2214261857338966,1.9730148957508797
V3,Industrials,15,13,8,61.53846153846154,0.40197122010485664,0.2335034310885442,5,38.46153846153846,2.763182956516154,-0.8585301162078118,5,38.46153846153846,3.1471293278918773,-0.6146554612390998
V3,Industrials,20,33,16,48.484848484848484,0.49746264532763274,-0.07106805561054585,16,48.484848484848484,0.6900696914796758,-0.7245089932742976,17,51.515151515151516,1.1520366874458818,0.15561078763863812
V3,Industrials,25,33,10,30.303030303030305,-0.5526686459223303,-0.7125930064105224,16,48.484848484848484,-0.0654265521635668,-0.3404263838564958,18,54.54545454545455,0.18019431909500275,0.2552283648346254
V3,Industrials,30,34,21,61.76470588235294,0.4061811054826565,0.5276263615526355,21,61.76470588235294,0.9839298057865729,0.9746958560148511,18,52.94117647058823,0.31996338220093323,0.48134521511337125
V3,Industrials,35,13,8,61.53846153846154,0.40871996049087755,0.6377897662841692,10,76.92307692307692,3.3075924779558923,1.5570259155615496,9,69.23076923076923,3.270115328333218,2.296893633910302
V3,Industrials,40,3,1,33.333333333333336,-0.12783688137524654,-0.32914224734806874,2,66.66666666666667,0.7906664100240509,1.2375680196842431,3,100.0,3.7109834882957267,3.6434633915607417
