Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry,Asset Class,Strategy,Theme,Geography,Category Flags,Holding Count,Known Holding Weight %,Top Holdings,Weighted Sector Mix,Weighted Industry Mix,Holdings Classification Text,Holdings Classification Source
GOLDADD.NS,XNSE:GOLDADD,DSPAMC - DSPGOLD,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GOLDAXIS.NS,XNSE:GOLDAXIS,AXISAMC-GOLDAXIS,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GOLDBEES.NS,XNSE:GOLDBEES,NIPINDETFGOLDBEES,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GOLDBETA.NS,XNSE:GOLDBETA,UTIAMC -UTIGOLDBETA,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GOLDBND.NS,XNSE:GOLDBND,BANDHANAMC - GOLDBND,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GOLDCASE.NS,XNSE:GOLDCASE,ZERODHAAMC-GOLDCASE,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GOLDETF.NS,XNSE:GOLDETF,MIRAEAMC-MAGOLDETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GOLDIETF.NS,XNSE:GOLDIETF,ICICIPrudGoldETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWCAPM.NS,XNSE:GROWWCAPM,GROWWAMC - GROWWCAPM,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWCHEM.NS,XNSE:GROWWCHEM,GROWWAMC - GROWWCHEM,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWDEFNC.NS,XNSE:GROWWDEFNC,GROWWAMC - GROWWDEFNC,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWEV.NS,XNSE:GROWWEV,GROWWAMC - GROWWEV,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWGOLD.NS,XNSE:GROWWGOLD,GROWWAMC - GROWWGOLD,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWHOSPI.NS,XNSE:GROWWHOSPI,GROWWAMC - GROWWHOSPI,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWLIQID.NS,XNSE:GROWWLIQID,GROWWAMC - GROWWLIQID,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWLOVOL.NS,XNSE:GROWWLOVOL,GROWWAMC - GROWWLOVOL,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWMC150.NS,XNSE:GROWWMC150,GROWWAMC - GROWWMC150,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWMETAL.NS,XNSE:GROWWMETAL,GROWWAMC - GROWWMETAL,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWMOM50.NS,XNSE:GROWWMOM50,GROWWAMC - GROWWMOM50,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWN200.NS,XNSE:GROWWN200,GROWWAMC - GROWWN200,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWNET.NS,XNSE:GROWWNET,GROWWAMC - GROWWNET,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWNXT50.NS,XNSE:GROWWNXT50,GROWWAMC - GROWWNXT50,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWPOWER.NS,XNSE:GROWWPOWER,GROWWAMC - GROWWPOWER,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWPSE.NS,XNSE:GROWWPSE,GROWWAMC - GROWWPSE,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWPSUBK.NS,XNSE:GROWWPSUBK,GROWWAMC - GROWWPSUBK,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,United Kingdom,Broad Market; Equity; Plain; United Kingdom,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWRAIL.NS,XNSE:GROWWRAIL,GROWWAMC - GROWWRAIL,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWRLTY.NS,XNSE:GROWWRLTY,GROWWAMC - GROWWRLTY,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
