Ticker,Symbol,ETF Name,Last Price,Change %,Volume,Average Volume 30D,AUM,Expense Ratio %,MTD %,1M %,3M %,6M %,YTD %,1Y %,Theme Option,Exchange,Type,Type Specs,Subtype
AMEX:FGD,FGD,First Trust DJ Global Select Dividend,33.51,-1.2669416617560392,88918,190762.4,1453428067.68,0.55,,0.5098980203959046,4.1330018645121145,9.796854521625159,9.796854521625159,26.119683853970635,Developed markets,AMEX,fund,['etf'],etf
CBOE:DDWM,DDWM,WisdomTree Dynamic International Equity Fund,46.2799,-0.5481895347587812,161455,135467.36666666667,1434726500.0,0.4,,2.6161862527716107,2.2308371990280422,8.054868083119308,5.253354559927221,17.253356979984797,Developed markets,CBOE,fund,['etf'],etf
NASDAQ:IGOV,IGOV,iShares International Treasury Bond ETF,41.44,-0.8612440191387547,224799,704065.0,1404895710.0,0.35000000000000003,,-0.9086561453849894,-1.2157330154946486,-1.661129568106319,-0.4564016334374365,-1.0978520286396203,Developed markets,NASDAQ,fund,['etf'],etf
AMEX:PCY,PCY,Invesco Emerging Markets Sovereign Debt ETF,21.56,-0.46168051708218566,132727,294206.9666666667,1386848400.0,0.5,,0.2790697674418545,-0.7366482504604058,-1.1915673693858917,-0.782328578002769,8.888888888888879,Emerging markets,AMEX,fund,['etf'],etf
NASDAQ:FDT,FDT,First Trust Developed Markets Ex-US AlphaDEX Fund,99.24,-0.7351837959489866,91068,112752.83333333333,1342283194.976,0.8,,4.529176321887505,9.247027741083214,23.46354814630505,23.848745788094348,49.61555857078245,Developed markets,NASDAQ,fund,['etf'],etf
AMEX:DVYE,DVYE,iShares Emerging Markets Dividend Index Fund Exchange Traded Fund,34.371836,-1.6261133371493874,66553,140724.9,1301044340.9,0.5,,-1.4568922018348645,1.451700118063752,8.5654958938724,9.255677050222507,21.155572788156505,Emerging markets,AMEX,fund,['etf'],etf
AMEX:EDIV,EDIV,State Street SPDR S&P Emerging Markets Dividend ETF,41.33,-1.26612517916866,61814,103967.43333333333,1255304578.2,0.49,,1.9235511713933444,1.498035363457759,5.676297622091534,5.11190233977619,8.992616033755265,Emerging markets,AMEX,fund,['etf'],etf
AMEX:BKIE,BKIE,BNY Mellon International Equity ETF,99.64,-0.8162452717499435,10747,47802.3,1230430500.0,0.04,,2.4259868421052624,3.5758835758835734,8.257279443720115,6.4188828366976445,18.309190216100692,Developed markets,AMEX,fund,['etf'],etf
NASDAQ:DMXF,DMXF,iShares ESG Advanced MSCI EAFE ETF,83.73,-0.6643729979831561,351377,111194.93333333333,1148164928.3,0.12,,4.636340914771317,7.552986512524097,8.59922178988328,9.932383640779882,13.96488362596979,Developed markets,NASDAQ,fund,['etf'],etf
AMEX:DLS,DLS,WisdomTree International SmallCap Fund,86.37,-0.7526572823901191,6398,22416.1,1090616400.0,0.58,,0.2553685432385361,1.1713716762328685,8.016508254127078,6.105651105651104,18.13705375461634,Developed markets,AMEX,fund,['etf'],etf
AMEX:DFSI,DFSI,Dimensional International Sustainability Core 1 ETF,45.19,-0.7467603777729045,16624,60006.666666666664,1085963381.04,0.24,,1.550561797752804,1.6190690353046973,7.288698955365622,4.582272622078215,16.499097705594224,Developed markets,AMEX,fund,['etf'],etf
NASDAQ:SEIE,SEIE,SEI Select International Equity ETF,35.19,-0.5269049422779001,41077,84986.26666666666,1085103499.32215,0.5,,2.894736842105248,4.421364985163189,10.695187165775398,7.417582417582417,22.613240418118462,Developed markets,NASDAQ,fund,['etf'],etf
AMEX:JHEM,JHEM,John Hancock Multifactor Emerging Markets ETF,41.47,-1.1206485455412467,30249,23366.433333333334,1045765380.0,0.49,,8.7595069499082,18.689181453921012,26.086956521739122,23.532916294310393,48.58473665352919,Emerging markets,AMEX,fund,['etf'],etf
AMEX:EMCS,EMCS,Xtrackers MSCI Emerging Markets Select ETF,47.6299,-1.3199494478629368,4101,1690.7333333333333,1041433546.806,0.15,,13.000948991696323,27.403771566136157,34.85363692217092,30.102569005312837,61.841318382602786,Emerging markets,AMEX,fund,['etf'],etf
CBOE:GSID,GSID,Goldman Sachs MarketBeta International Equity ETF,75.19,-0.6223822344169847,4876,39421.433333333334,1035690000.0,0.2,,3.1130005485463466,4.07640667174198,9.606413994169102,7.521807521807508,18.64749118704298,Developed markets,CBOE,fund,['etf'],etf
AMEX:QEFA,QEFA,State Street SPDR MSCI EAFE StrategicFactors ETF,95.339,-0.5019828845752395,21998,45556.2,1024869718.5,0.3,,-0.688541666666668,0.3991154170176968,6.822408963585433,4.229802120913961,13.837611940298506,Developed markets,AMEX,fund,['etf'],etf
CBOE:IMFL,IMFL,Invesco International Developed Dynamic Multifactor ETF,34.611,-0.7712155963302908,21828,61792.566666666666,1017182034.835,0.34,,4.501811594202898,5.844036697247688,18.206967213114737,15.23172193367957,28.66542750929368,Developed markets,CBOE,fund,['etf'],etf
AMEX:JHMD,JHMD,John Hancock Multifactor Developed International ETF,44.8358,-0.43126804352654263,80885,130095.8,939838200.0,0.39,,2.0851548269580995,3.070804597701147,8.692848484848483,6.981150083512295,18.020005264543293,Developed markets,AMEX,fund,['etf'],etf
CBOE:XEMD,XEMD,BondBloxx JP Morgan USD Emerging Markets 1-10 Year Bond ETF,44.745,-0.41175161362119356,46420,176376.63333333333,919480980.0,0.29,,0.23521505376343385,-0.3008021390374445,0.25767421017251824,0.37012113055181506,5.47095983405619,Emerging markets,CBOE,fund,['etf'],etf
AMEX:GWX,GWX,State Street SPDR S&P International Small Cap ETF,45.59,-1.4057093425605505,19871,66701.76666666666,905543010.4,0.4,,0.3521901826986654,3.214851709304962,12.262989411475017,10.762876579203127,27.34636871508382,Developed markets,AMEX,fund,['etf'],etf
NASDAQ:ISHG,ISHG,iShares 1-3 Year International Treasury Bond ETF,75.21,-0.5421846072467744,34191,111700.26666666666,903360250.0,0.35000000000000003,,-0.7914523149980326,-0.6210359408033999,-1.0134245854172286,-0.03987240829346244,0.7366729172247485,Developed markets,NASDAQ,fund,['etf'],etf
